Date,Open,High,Low,Close*,Adj Close**,Volume
Sep 04 2003,1491.77,1491.77,1491.77,1491.77,1491.77,-
Sep 03 2003,1489.25,1489.25,1489.25,1489.25,1489.25,-
Sep 02 2003,1482.61,1482.61,1482.61,1482.61,1482.61,-
Aug 29 2003,1462.30,1462.30,1462.30,1462.30,1462.30,-
Aug 28 2003,1454.70,1454.70,1454.70,1454.70,1454.70,-
Aug 27 2003,1445.84,1445.84,1445.84,1445.84,1445.84,-
Aug 26 2003,1445.51,1445.51,1445.51,1445.51,1445.51,-
Aug 25 2003,1441.11,1441.11,1441.11,1441.11,1441.11,-
Aug 22 2003,1440.17,1440.17,1440.17,1440.17,1440.17,-
Aug 21 2003,1454.98,1454.98,1454.98,1454.98,1454.98,-
Aug 20 2003,1450.61,1450.61,1450.61,1450.61,1450.61,-
Aug 19 2003,1453.45,1453.45,1453.45,1453.45,1453.45,-
Aug 18 2003,1449.65,1449.65,1449.65,1449.65,1449.65,-
Aug 15 2003,1436.43,1436.43,1436.43,1436.43,1436.43,-
Aug 14 2003,1435.96,1435.96,1435.96,1435.96,1435.96,-
Aug 13 2003,1426.55,1426.55,1426.55,1426.55,1426.55,-
Aug 12 2003,1435.17,1435.17,1435.17,1435.17,1435.17,-
Aug 11 2003,1421.01,1421.01,1421.01,1421.01,1421.01,-
Aug 08 2003,1416.30,1416.30,1416.30,1416.30,1416.30,-
Aug 07 2003,1411.27,1411.27,1411.27,1411.27,1411.27,-
Aug 06 2003,1401.01,1401.01,1401.01,1401.01,1401.01,-
Aug 05 2003,1398.42,1398.42,1398.42,1398.42,1398.42,-
Aug 04 2003,1423.51,1423.51,1423.51,1423.51,1423.51,-
Aug 01 2003,1419.64,1419.64,1419.64,1419.64,1419.64,-
Jul 31 2003,1434.33,1434.33,1434.33,1434.33,1434.33,-
Jul 30 2003,1429.91,1429.91,1429.91,1429.91,1429.91,-
Jul 29 2003,1432.31,1432.31,1432.31,1432.31,1432.31,-
Jul 28 2003,1442.58,1442.58,1442.58,1442.58,1442.58,-
Jul 25 2003,1445.70,1445.70,1445.70,1445.70,1445.70,-
Jul 24 2003,1420.96,1420.96,1420.96,1420.96,1420.96,-
Jul 23 2003,1431.10,1431.10,1431.10,1431.10,1431.10,-
Jul 22 2003,1430.35,1430.35,1430.35,1430.35,1430.35,-
Jul 21 2003,1416.88,1416.88,1416.88,1416.88,1416.88,-
Jul 18 2003,1437.89,1437.89,1437.89,1437.89,1437.89,-
Jul 17 2003,1421.11,1421.11,1421.11,1421.11,1421.11,-
Jul 16 2003,1438.86,1438.86,1438.86,1438.86,1438.86,-
Jul 15 2003,1448.02,1448.02,1448.02,1448.02,1448.02,-
Jul 14 2003,1453.00,1453.00,1453.00,1453.00,1453.00,-
Jul 11 2003,1444.70,1444.70,1444.70,1444.70,1444.70,-
Jul 10 2003,1430.96,1430.96,1430.96,1430.96,1430.96,-
Jul 09 2003,1450.51,1450.51,1450.51,1450.51,1450.51,-
